COUNTY_STATE,STATE,YEAR,EMPLOYMENT,TREATED,POST_POLICY,DID,BRIEF_TITLE
"Beaver County, Pennsylvania",Pennsylvania,2018,27000,0,0,0,Pennsylvania Benchmark District: Beaver-Lawrence Belt
"Beaver County, Pennsylvania",Pennsylvania,2019,26500,0,0,0,Pennsylvania Benchmark District: Beaver-Lawrence Belt
"Beaver County, Pennsylvania",Pennsylvania,2020,25300,0,0,0,Pennsylvania Benchmark District: Beaver-Lawrence Belt
"Beaver County, Pennsylvania",Pennsylvania,2021,25821,0,0,0,Pennsylvania Benchmark District: Beaver-Lawrence Belt
"Beaver County, Pennsylvania",Pennsylvania,2022,26053,0,1,0,Pennsylvania Benchmark District: Beaver-Lawrence Belt
"Beaver County, Pennsylvania",Pennsylvania,2023,26400,0,1,0,Pennsylvania Benchmark District: Beaver-Lawrence Belt
"Beaver County, Pennsylvania",Pennsylvania,2024,26600,0,1,0,Pennsylvania Benchmark District: Beaver-Lawrence Belt
"Beaver County, Pennsylvania",Pennsylvania,2025,26900,0,1,0,Pennsylvania Benchmark District: Beaver-Lawrence Belt
"Erie County, Pennsylvania",Pennsylvania,2018,30860,0,0,0,Pennsylvania Benchmark District: Northern Border
"Erie County, Pennsylvania",Pennsylvania,2019,30327,0,0,0,Pennsylvania Benchmark District: Northern Border
"Erie County, Pennsylvania",Pennsylvania,2020,29200,0,0,0,Pennsylvania Benchmark District: Northern Border
"Erie County, Pennsylvania",Pennsylvania,2021,29700,0,0,0,Pennsylvania Benchmark District: Northern Border
"Erie County, Pennsylvania",Pennsylvania,2022,29900,0,1,0,Pennsylvania Benchmark District: Northern Border
"Erie County, Pennsylvania",Pennsylvania,2023,30200,0,1,0,Pennsylvania Benchmark District: Northern Border
"Erie County, Pennsylvania",Pennsylvania,2024,30402,0,1,0,Pennsylvania Benchmark District: Northern Border
"Erie County, Pennsylvania",Pennsylvania,2025,30634,0,1,0,Pennsylvania Benchmark District: Northern Border
"Lawrence County, Pennsylvania",Pennsylvania,2018,17285,0,0,0,Pennsylvania Benchmark District: Beaver-Lawrence Belt
